universidade,nome,palavras_chave,score,pagina,url
UEA,Escola Superior de Tecnologia,tecnologia,2,1,https://uea.edu.br/index.php/escola-normal-superior/
UENF,Ciência da Computação,computacao,4,1,https://uenf.br/graduacao/
UFABC,Bacharelado em Ciência e Tecnologia (BC&T),tecnologia,2,1,https://prograd.ufabc.edu.br/cursos
UFABC,Biotecnologia,tecnologia,2,1,https://prograd.ufabc.edu.br/cursos
UFABC,Ciência da Computação,computacao,2,1,https://prograd.ufabc.edu.br/cursos
UFABC,"Instrumentação, Automação e Robótica",robotica,2,1,https://prograd.ufabc.edu.br/cursos
UFBA,SUPERIOR DE TECNOLOGIA,tecnologia,4,4,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Computação,computacao,4,11,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Interdisciplinar em Ciência e Tecnologia,tecnologia,4,46,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,"Interdisciplinar em Ciência, Tecnologia e Inovação",tecnologia,4,46,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Contato: engcomputação@ufba.br,computacao,2,6,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Tecnologia em Transporte Terrestre,tecnologia,2,10,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Ciência da Computação,computacao,2,11,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Biotecnologia,tecnologia,2,22,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Administração Pública EAD,ead,2,28,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Campus: EAD,ead,2,28,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFBA,Biblioteconomia EAD,ead,2,34,https://prograd.ufba.br/sites/prograd.ufba.br/files/copia_de_2026_catalogo_de_cursos.pdf
UFDPAR,Ciências da Computação,computacao,4,1,https://ufdpar.edu.br/preg/preg-1/cursos-de-graduacao
UFDPAR,Inteligência Artificial,inteligencia artificial,4,1,https://ufdpar.edu.br/preg/preg-1/cursos-de-graduacao
UFMT,Tecnologia Educacional (EaD),ead; tecnologia; tecnologia educacional,6,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Cinema e Audiovisual,audiovisual,4,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Ciências Naturais (EaD),ead,4,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Ciência da Computação,computacao,2,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Administração Pública (EaD),ead,2,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Pedagogia (EaD),ead,2,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Faculdade de Ciência e Tecnologia (FCT),tecnologia,2,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFMT,Bacharelado em Ciência e Tecnologia,tecnologia,2,1,https://www.ufmt.br/pagina/institutos-e-faculdades/227
UFRN,TECNOLÓGICO,tecnologico,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,BACHARELADO EM INTELIGÊNCIA ARTIFICIAL,inteligencia artificial,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,CIÊNCIA DA COMPUTAÇÃO,computacao,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,CIÊNCIAS E TECNOLOGIA,tecnologia,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,ESCOLA DE CIENCIAS E TECNOLOGIA,tecnologia,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,COMUNICAÇÃO SOCIAL - AUDIOVISUAL,audiovisual,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,TECNOLOGIA DA INFORMAÇÃO,tecnologia,2,1,https://www.ufrn.br/academico/ensino/graduacao/cursos
UFRN,Atendimento virtual,virtual,2,1,https://sigaa.ufrn.br/sigaa/public/curso/portal.jsf?id=118836561&nivel=G&lc=pt_BR
UNB,Letras – Língua Portuguesa e Respectiva Literatura EaD,ead,2,1,https://il.unb.br/nossos-cursos-graduacao/
UNB,Letras - Língua Portuguesa e Respectiva Literatura EaD,ead,2,1,https://il.unb.br/lingua-portuguesa-e-respectiva-literatura-ead/
UNIFEI,Softwares Institucionais,software,2,1,https://prg.unifei.edu.br/
