universidade,universidade_nome,uf,categoria,nome,palavras_chave,score,pagina,documento_titulo,url
FURG,Universidade Federal do Rio Grande,RS,federal,Sistema de Avaliação: Sistema II,"[""aplicativo"", ""aplicativos"", ""digital"", ""letramento digital"", ""midia"", ""multiletramento"", ""multiletramentos"", ""multimodal"", ""multimodalidade"", ""online"", ""tecnologia"", ""tecnologias""]",28,51,SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB PROJETO ...,https://sead.furg.br/images/2025/Letras/Documentos/PPC_Letras_Portugues_e_Literaturas_de_Lingua_Portuguesa_EaD_2024.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Sistema de Avaliação: Sistema I,"[""cultura digital"", ""digital"", ""letramento digital"", ""letramentos digitais"", ""multiletramento"", ""multiletramentos"", ""online"", ""tecnologia"", ""tecnologias"", ""tecnologias digitais"", ""tics""]",26,19,MINISTÉRIO DA EDUCAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE ...,https://prograd.furg.br/images/PPC_LETRAS_SLS.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Sistema de avaliação: I,"[""aplicativo"", ""aplicativos"", ""digital"", ""letramento digital"", ""midia"", ""multiletramento"", ""multiletramentos"", ""multimodal"", ""multimodalidade"", ""tecnologia"", ""tecnologias""]",26,63,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Impeditiva: Não,"[""digital"", ""letramento digital"", ""tecnologia"", ""tecnologias"", ""tecnologias digitais""]",14,107,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Sistema de avaliação: II,"[""internet"", ""tecnologia"", ""tecnologias""]",10,82,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Ensino de Língua Portuguesa Mediado por Tecnologias Digitais,"[""tecnologia"", ""tecnologias"", ""tecnologias digitais""]",8,63,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,"Léxico, gramática e mídias  4","[""midia"", ""midias""]",8,25,SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB PROJETO ...,https://sead.furg.br/images/2025/Letras/Documentos/PPC_Letras_Portugues_e_Literaturas_de_Lingua_Portuguesa_EaD_2024.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Ensino de Língua Portuguesa Mediado por Tecnologias,"[""tecnologia"", ""tecnologias""]",7,27,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Alfabetização digital  4,"[""digital""]",6,23,SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB PROJETO ...,https://sead.furg.br/images/2025/Letras/Documentos/PPC_Letras_Portugues_e_Literaturas_de_Lingua_Portuguesa_EaD_2024.pdf
FURG,Universidade Federal do Rio Grande,RS,federal,Carga horária de aulas a distância:  EaD =  relógio,"[""ead""]",6,63,PROJETO PEDAGÓGICO DO CURSO DE LETRAS - LÍNGUA PORTUGUESA,https://prograd.furg.br/images/PPC_Letras_-_Lngua_Portuguesa.pdf
