sigla,nome,categoria,uf,regiao
UNCISAL,Universidade Estadual de Ciências da Saúde de Alagoas,estadual,AL,Nordeste
UNEAL,Universidade Estadual de Alagoas,estadual,AL,Nordeste
UEA,Universidade do Estado do Amazonas,estadual,AM,Norte
UEAP,Universidade Estadual do Amapá,estadual,AP,Norte
UEFS,Universidade Estadual de Feira de Santana,estadual,BA,Nordeste
UESB,Universidade Estadual do Sudoeste da Bahia,estadual,BA,Nordeste
UESC,Universidade Estadual de Santa Cruz,estadual,BA,Nordeste
UNEB,Universidade do Estado da Bahia,estadual,BA,Nordeste
UECE,Universidade Estadual do Ceará,estadual,CE,Nordeste
URCA,Universidade Regional do Cariri,estadual,CE,Nordeste
UVA,Universidade Estadual Vale do Acaraú,estadual,CE,Nordeste
UNDF,Universidade do Distrito Federal Jorge Amaury,estadual,DF,Centro-Oeste
UNAC,Universidade Aberta Capixaba,estadual,ES,Sudeste
UEG,Universidade Estadual de Goiás,estadual,GO,Centro-Oeste
UEMA,Universidade Estadual do Maranhão,estadual,MA,Nordeste
UEMASUL,Universidade Estadual da Região Tocantina do Maranhão,estadual,MA,Nordeste
UEMG,Universidade do Estado de Minas Gerais,estadual,MG,Sudeste
UNIMONTES,Universidade Estadual de Montes Claros,estadual,MG,Sudeste
UEMS,Universidade Estadual de Mato Grosso do Sul,estadual,MS,Centro-Oeste
UNEMAT,Universidade do Estado de Mato Grosso,estadual,MT,Centro-Oeste
UEPA,Universidade do Estado do Pará,estadual,PA,Norte
UEPB,Universidade Estadual da Paraíba,estadual,PB,Nordeste
UPE,Universidade de Pernambuco,estadual,PE,Nordeste
UESPI,Universidade Estadual do Piauí,estadual,PI,Nordeste
UEL,Universidade Estadual de Londrina,estadual,PR,Sul
UEM,Universidade Estadual de Maringá,estadual,PR,Sul
UENP,Universidade Estadual do Norte do Paraná,estadual,PR,Sul
UEPG,Universidade Estadual de Ponta Grossa,estadual,PR,Sul
UNESPAR,Universidade Estadual do Paraná,estadual,PR,Sul
UNICENTRO,Universidade Estadual do Centro-Oeste,estadual,PR,Sul
UNIOESTE,Universidade Estadual do Oeste do Paraná,estadual,PR,Sul
UENF,Universidade Estadual do Norte Fluminense Darcy Ribeiro,estadual,RJ,Sudeste
UERJ,Universidade do Estado do Rio de Janeiro,estadual,RJ,Sudeste
UERN,Universidade do Estado do Rio Grande do Norte,estadual,RN,Nordeste
UERR,Universidade Estadual de Roraima,estadual,RR,Norte
UERGS,Universidade Estadual do Rio Grande do Sul,estadual,RS,Sul
UDESC,Universidade do Estado de Santa Catarina,estadual,SC,Sul
UNESE,Universidade Estadual de Sergipe,estadual,SE,Nordeste
UNESP,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",estadual,SP,Sudeste
UNICAMP,Universidade Estadual de Campinas,estadual,SP,Sudeste
UNIVESP,Universidade Virtual do Estado de São Paulo,estadual,SP,Sudeste
USP,Universidade de São Paulo,estadual,SP,Sudeste
UNITINS,Universidade do Tocantins,estadual,TO,Norte
UFAC,Universidade Federal do Acre,federal,AC,Norte
UFAL,Universidade Federal de Alagoas,federal,AL,Nordeste
UFAM,Universidade Federal do Amazonas,federal,AM,Norte
UNIFAP,Universidade Federal do Amapá,federal,AP,Norte
